Team Name,Elo,Region,Seed
Kansas,2018,Midwest,1
Siena,1615,Midwest,16
Houston,1765,Midwest,8
Marquette,1626,Midwest,9
Auburn,1841,Midwest,5
Liberty,1659,Midwest,12
Wisconsin,1799,Midwest,4
North Texas,1581,Midwest,13
Iowa,1761,Midwest,6
East Tennessee State,1757,Midwest,11
Duke,1875,Midwest,3
Belmont,1655,Midwest,14
Providence,1773,Midwest,7
Arizona State,1678,Midwest,10
Kentucky,1923,Midwest,2
North Dakota State,1593,Midwest,15
Dayton,2022,East,1
Robert Morris,1517,East,16
Boston,1530,East,16
Colorado,1634,East,8
Florida,1725,East,9
Butler,1756,East,5
Richmond,1701,East,12
Texas,1651,East,12
Maryland,1889,East,4
Akron,1688,East,13
Penn State,1715,East,6
NC State,1647,East,11
UCLA,1703,East,11
Villanova,1850,East,3
Hofstra,1634,East,14
West Virginia,1669,East,7
Utah State,1740,East,10
Florida State,1907,East,2
Northern Kentucky,1561,East,15
Gonzaga,1940,West,1
Prarie View,1439,West,16
NC Central,1456,West,16
Lousiana State,1695,West,8
Oklahoma,1679,West,9
Michigan,1721,West,5
Yale,1610,West,12
Oregon,1886,West,4
New Mexico State,1695,West,13
Brigham Young,1747,West,6
Indiana,1687,West,11
Seton Hall,1780,West,3
Eastern Washington,1607,West,14
Arizona,1801,West,7
Texas Tech,1684,West,10
San Diega State,1795,West,2
UC Irvine,1585,West,15
Baylor,1876,South,1
Winthrop,1535,South,16
Saint Mary's,1773,South,8
Rutgers,1622,South,9
Ohio State,1800,South,5
Stephen F Austin,1656,South,12
Louisville,1820,South,4
Vermont,1659,South,13
Virginia,1827,South,6
Cincinnati,1714,South,11
Michigan State,1823,South,3
Bradley,1598,South,14
Illinois,1746,South,7
Souther California,1688,South,10
Creighton,1970,South,2
Arkansas Little Rock,1488,South,15
